a,b,c,d,e,f,xc,yc,rx,ry,phi[-],Dist.²,Res.²
0.416175,0.0494644,0.970661,-1.78794,-2.20895,2.16613,2.0836,1.08477,1.46812,0.959497,-0.044486,0.0478915,0.123203
Points (x,y)
3.588,1.021
3.507,1.094
3.572,1.084
3.524,1.145
3.506,1.238
3.568,1.227
3.533,1.258
3.459,1.314
3.433,1.389
3.427,1.45
3.389,1.406
3.425,1.466
3.398,1.539
3.391,1.585
3.363,1.551
3.3,1.571
3.217,1.606
3.206,1.691
3.166,1.75
3.129,1.755
3.092,1.756
3.024,1.746
2.999,1.795
2.95,1.855
2.94,1.826
2.825,1.895
2.817,1.868
2.772,1.91
2.727,1.918
2.609,1.961
2.561,1.962
2.52,1.968
2.46,1.981
2.442,2.053
2.358,2.067
2.305,2.026
2.261,1.998
2.225,2.06
2.114,2.038
2.106,2.068
2.03,2.047
1.964,2.075
1.871,2.024
1.789,2.081
1.811,2.017
1.748,2.015
1.63,2.024
1.559,2.036
1.554,1.993
1.524,1.93
1.392,1.915
1.402,1.953
1.328,1.922
1.267,1.932
1.183,1.87
1.125,1.821
1.098,1.79
1.024,1.827
1.034,1.767
0.942,1.747
0.933,1.758
0.912,1.691
0.874,1.618
