a,b,c,d,e,f,xc,yc,rx,ry,phi[-],Dist.²,Res.²
-0.436016,-0.025151,-0.915927,1.82388,1.89563,-1.83486,2.0625,1.0065,1.515,1.0447,-0.0261799,0.0490659,0.143488
Points (x,y)
3.599,1.084
3.539,1.081
3.572,1.118
3.531,1.185
3.495,1.244
3.565,1.244
3.523,1.247
3.493,1.32
3.424,1.36
3.453,1.429
3.392,1.444
3.427,1.443
3.406,1.471
3.338,1.591
3.37,1.593
3.293,1.565
3.287,1.628
3.225,1.712
3.144,1.691
3.095,1.774
3.116,1.804
3.015,1.747
3.046,1.795
2.948,1.811
2.933,1.86
2.832,1.863
2.789,1.894
2.711,1.91
2.655,1.901
2.692,1.978
2.613,2.031
2.538,2.023
2.482,1.998
2.415,2.003
2.337,2.007
2.32,2.004
2.274,1.995
2.184,2.01
2.082,2.056
2.102,2.018
1.996,2.085
1.899,2.074
1.893,2.047
1.812,2.038
1.813,2.057
1.717,2.003
1.623,2.008
1.575,2.008
1.582,2.03
1.53,2.003
1.377,1.945
1.326,1.969
1.282,1.919
1.253,1.944
1.246,1.925
1.214,1.851
1.111,1.814
1.065,1.787
1.025,1.785
0.994,1.729
0.902,1.74
0.894,1.745
0.854,1.669
