a,b,c,d,e,f,xc,yc,rx,ry,phi[-],Dist.²,Res.²
-0.2379,0.848335,-0.861321,2.00493,-3.05286,-3.87239,8.64282,2.48406,6.56182,0.964039,0.468522,3e-09,8.09113
Points (x,y)
7.2931748,1.6954379
7.0086557,1.7274651
6.9521588,1.7845502
6.8059765,1.7021286
6.5112376,1.6332619
6.4059254,1.5564791
6.112802,1.6186504
6.0525335,1.4786418
5.7496497,1.4646834
5.5813608,1.3618468
5.3257153,1.3264825
5.1083294,0.9349254
5.0946211,1.1960497
4.7564895,1.0242415
4.5296018,0.8303468
4.4460394,0.8418897
4.2491884,0.6298586
3.9756988,0.5047308
3.8654898,0.4535053
3.6191046,0.1023378
3.3829878,0.0834897
3.1838213,-0.1459377
3.1915184,-0.2193385
2.848823,-0.5429701
